month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-12-01 00:00:00.000,Baltimore_MD,CITY,435,1811,1906,2004,28864,1382,1579,1750,22052,1021,79,6099,1421,4700,5347,11740,1729,1565,1866,37453,2424,270113,2021-12-01 00:00:00.000,Baltimore_MD,381836
2021-10-01 00:00:00.000,Baltimore_MD,CITY,886,2807,3691,2870,32027,1067,1162,3029,25026,1194,122,5282,1361,3918,5490,3971,548,656,541,13568,1154,309877,2021-10-01 00:00:00.000,Baltimore_MD,400941
2021-01-01 00:00:00.000,DC,CITY,583,8753,30430,10426,6079,22279,6853,12627,61534,3562,434,15788,5793,11748,5389,40311,5238,5585,8941,170483,13376,1431726,2021-01-01 00:00:00.000,DC,1808127
2021-06-01 00:00:00.000,Pittsburg_PA,CITY,702,2647,15055,3007,5052,1909,1452,2988,20447,764,521,5630,1169,4526,3851,11348,1125,1765,1744,43646,3057,247839,2021-06-01 00:00:00.000,Pittsburg_PA,357629
2021-11-01 00:00:00.000,Philadelphia,CITY,2184,10626,5384,13556,51759,5269,6820,32085,137855,8535,143,28774,11300,19043,20776,19026,2368,2774,2574,48038,4219,1970600,2021-11-01 00:00:00.000,Philadelphia,2306691
2021-10-01 00:00:00.000,Philadelphia,CITY,4936,18128,13886,16858,57415,5415,7061,16326,152792,9537,289,27703,12520,19595,22696,21082,2578,3176,3384,61194,6700,2285502,2021-10-01 00:00:00.000,Philadelphia,2687315
2021-12-01 00:00:00.000,Boston Surrounding-Providence,CITY,122,616,2268,1192,1338,508,407,516,7529,455,36,2159,454,1423,1317,3636,415,476,801,7713,917,96157,2021-12-01 00:00:00.000,Boston Surrounding-Providence,124471
2021-03-01 00:00:00.000,New_England,CITY,657,5007,29272,5013,20353,8888,1483,4628,29292,1056,1220,11167,2385,3734,2559,15502,1683,1904,2666,48198,4547,439653,2021-03-01 00:00:00.000,New_England,604454
2021-08-01 00:00:00.000,Richmond_VA_WVA,CITY,845,2085,8472,3046,9038,848,1283,2476,22373,1035,276,5717,1189,4190,4152,9427,1119,1429,1887,29907,3071,295092,2021-08-01 00:00:00.000,Richmond_VA_WVA,391024
2021-11-01 00:00:00.000,Boston,CITY,635,4915,3123,7723,133736,3805,3196,11528,57409,4191,80,13507,4645,8599,7313,7715,903,1064,1609,29781,1957,850497,2021-11-01 00:00:00.000,Boston,1106676
