month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-06-01 00:00:00.000,Philadelphia,CITY,171,4759,2809,4700,65736,2447,3740,4552,41513,1471,203,8772,3410,5324,6746,26813,2615,3569,4217,62886,6340,450664,2021-06-01 00:00:00.000,Philadelphia,664676
2021-08-01 00:00:00.000,Western WV,CITY,72,30,297,88,14,22,24,56,515,11,15,68,10,115,60,183,15,38,36,424,60,4213,2021-08-01 00:00:00.000,Western WV,5995
2021-03-01 00:00:00.000,New Jersey,CITY,1096,13866,20492,15389,347968,23675,4456,12627,81077,3515,848,19559,8235,8373,5978,45982,5114,5903,7828,155091,13608,973445,2021-03-01 00:00:00.000,New Jersey,1619761
2021-03-01 00:00:00.000,Worcester,CITY,43,265,1787,298,146,336,132,267,1659,45,103,552,106,252,159,907,92,105,161,2681,306,20369,2021-03-01 00:00:00.000,Worcester,28980
2021-11-01 00:00:00.000,Vermont,CITY,95,67,505,136,19,79,49,195,846,17,12,247,29,217,218,73,2,6,4,157,14,10975,2021-11-01 00:00:00.000,Vermont,13288
2021-03-01 00:00:00.000,New Hampshire,CITY,189,224,2350,302,119,249,47,256,1633,48,238,1287,51,184,153,761,74,107,163,2980,237,20574,2021-03-01 00:00:00.000,New Hampshire,30117
2021-08-01 00:00:00.000,Johnstown-Altoona,CITY,87,54,372,86,18,18,37,73,546,11,7,86,19,127,37,236,26,36,28,516,72,7604,2021-08-01 00:00:00.000,Johnstown-Altoona,9726
2021-10-01 00:00:00.000,Greater Maine,CITY,131,44,1022,67,11,22,17,51,346,10,18,80,12,77,54,21,4,3,5,117,17,3873,2021-10-01 00:00:00.000,Greater Maine,5590
2021-07-01 00:00:00.000,Connecticut,CITY,188,2900,3603,3581,12978,1475,1470,2731,27733,1010,336,6243,2469,4809,3937,15133,1591,1843,2262,31430,4136,443149,2021-07-01 00:00:00.000,Connecticut,556180
2021-01-01 00:00:00.000,New Jersey,CITY,782,8447,17791,11016,63048,20864,5984,12539,63662,3160,758,14713,7938,7944,4629,42255,4942,5690,8023,112125,12992,1295686,2021-01-01 00:00:00.000,New Jersey,1653127
2021-01-01 00:00:00.000,Western MA,CITY,66,96,3708,146,20,448,67,154,791,21,59,798,33,113,58,826,53,93,88,1230,129,6566,2021-01-01 00:00:00.000,Western MA,13370
2021-10-01 00:00:00.000,Charlottesville-Harrisonburg,CITY,109,259,10878,328,54,275,62,155,1623,83,17,442,106,432,230,262,35,29,32,756,74,16875,2021-10-01 00:00:00.000,Charlottesville-Harrisonburg,30683
2021-02-01 00:00:00.000,Eastern WV,CITY,59,56,820,100,23,105,10,34,297,8,86,285,12,85,39,153,15,17,25,518,45,2971,2021-02-01 00:00:00.000,Eastern WV,5164
2021-12-01 00:00:00.000,Washington D.C.,CITY,552,7098,2971,8318,87679,4882,5522,5931,72983,3302,78,15780,5977,13683,11673,36216,5685,4642,5767,153640,8092,1267632,2021-12-01 00:00:00.000,Washington D.C.,1657026
2021-07-01 00:00:00.000,Delaware,CITY,21,44,228,51,8,9,17,40,388,5,1,56,13,90,54,196,17,31,24,396,63,4177,2021-07-01 00:00:00.000,Delaware,5639
2022-01-01 00:00:00.000,Boston,CITY,336,4768,10554,6635,163949,4418,3015,2740,53882,3215,115,13589,4512,7503,6358,29394,3989,3836,6534,99459,8665,818499,2022-01-01 00:00:00.000,Boston,1167109
2021-02-01 00:00:00.000,Johnstown-Altoona,CITY,52,38,2056,124,16,149,19,58,366,12,22,139,12,81,17,145,10,27,34,630,57,3623,2021-02-01 00:00:00.000,Johnstown-Altoona,6773
2021-04-01 00:00:00.000,Western MA,CITY,46,157,3651,112,63,373,35,141,715,29,63,401,30,128,171,380,36,45,60,1665,85,4942,2021-04-01 00:00:00.000,Western MA,11222
2021-06-01 00:00:00.000,Lehigh Valley,CITY,73,430,1095,384,148,135,519,472,3359,95,87,720,131,679,632,1739,171,243,293,3660,510,38419,2021-06-01 00:00:00.000,Lehigh Valley,51433
2021-12-01 00:00:00.000,Charlottesville-Harrisonburg,CITY,56,139,298,251,37,129,84,90,1142,50,10,370,50,411,167,555,62,56,103,897,116,22933,2021-12-01 00:00:00.000,Charlottesville-Harrisonburg,27246
