month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-09-01 00:00:00.000,Aka-Region,CITY,9297,66974,640110,53789,320481,18954,24432,36715,368297,21434,1983,99895,31478,52964,71577,82909,20217,21569,28635,742840,59157,4858752,2021-09-01 00:00:00.000,Aka-Region,7155336
2021-04-01 00:00:00.000,Aka-Region,CITY,4964,59520,186795,57130,783106,67952,23457,47415,299592,12039,3406,82169,25188,44563,49525,181457,19799,22027,30568,711898,50809,5029734,2021-04-01 00:00:00.000,Aka-Region,7276160
2021-03-01 00:00:00.000,Aka-Region,CITY,4744,57748,224630,59392,867081,98613,20758,53574,338846,13411,7056,102147,27696,44203,29457,192839,22099,24211,34481,810356,57834,4588014,2021-03-01 00:00:00.000,Aka-Region,7063620
2021-02-01 00:00:00.000,Aka-Region,CITY,3829,37121,176024,51411,449235,99959,16712,41281,255343,11410,11103,75730,24142,41018,22304,162606,19982,19617,33000,568129,49127,3446201,2021-02-01 00:00:00.000,Aka-Region,5204260
2021-07-01 00:00:00.000,Aka-Region,CITY,5715,38044,431927,50280,438079,17572,21220,38010,369908,16911,4591,86141,31550,58963,57514,216141,24876,28008,33928,673877,61343,5153925,2021-07-01 00:00:00.000,Aka-Region,7375970
2021-05-01 00:00:00.000,Aka-Region,CITY,5770,64558,89909,57803,580800,29821,25165,45937,310792,12800,1870,78170,26820,53522,47469,183459,19015,21501,30580,676379,52122,4889166,2021-05-01 00:00:00.000,Aka-Region,6890427
2021-12-01 00:00:00.000,Aka-Region,CITY,4887,32683,24145,39794,443197,21669,24221,27239,362333,20283,808,88908,30943,62314,61985,187568,26360,24254,33482,575241,41952,5460191,2021-12-01 00:00:00.000,Aka-Region,7245704
2022-01-01 00:00:00.000,Aka-Region,CITY,5986,28575,81101,39632,448734,25194,20984,22467,373820,18725,1206,88579,29407,55086,57298,196040,29825,27317,36422,601935,55180,5485721,2022-01-01 00:00:00.000,Aka-Region,7287507
2021-11-01 00:00:00.000,Aka-Region,CITY,7250,30785,25174,43380,331037,19298,20870,97231,382574,22767,792,87065,28148,63349,62508,51261,6225,7687,7895,173441,12079,5520510,2021-11-01 00:00:00.000,Aka-Region,6696858
2021-10-01 00:00:00.000,Aka-Region,CITY,14717,51873,614929,51168,386663,19545,21006,47984,422695,24937,1249,87941,30582,62684,68354,55769,7113,8727,9988,243709,18967,6005067,2021-10-01 00:00:00.000,Aka-Region,7862367
2021-01-01 00:00:00.000,Aka-Region,CITY,4058,35425,183589,48719,145123,94483,25921,50146,273031,12931,5303,72906,27868,42869,21410,180425,21616,23934,35929,544048,55603,5560635,2021-01-01 00:00:00.000,Aka-Region,7139497
2021-08-01 00:00:00.000,Aka-Region,CITY,7249,37980,353611,51618,602921,19714,23848,38040,389010,18269,4313,105016,30211,53151,62621,178999,25902,26992,36352,779944,59907,4969753,2021-08-01 00:00:00.000,Aka-Region,7332283
2021-06-01 00:00:00.000,Aka-Region,CITY,4553,46611,121309,47698,434440,22100,25238,43049,350478,14705,3215,76686,26908,52939,43608,199336,20923,29050,33163,634918,54678,5166345,2021-06-01 00:00:00.000,Aka-Region,7065564
